movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt2602732,Lunch Break,2013,,"Action, Crime, Drama",8.5,"When the charms of a waitress make a hit-man doubt the life he has chosen, he catches a glimpse of the life that will never be.",Gabriel Schmidt,"Sal Landi, 
Hélène Cardona, 
Priscilla Schmidt, 
Gene Loveland"
tt6096780,Temuan Takdir,2016,85 min,"Action, Crime",8.5,"A movie with subtle yet powerful messages of duty, love and the deep bond of brotherhood, TEMUAN TAKDIR is the story of two dedicated police officer brothers, who intelligently pursue the Mastermind behind a security van heist.",Dhyan Vimal,"Malieq Abdullah, 
Zahim Albakri, 
Thanuja Ananthan, 
Dean Ezwaran"
tt6703928,A Fool's Paradise,2013,67 min,Action,8.5,Add a Plot,Dylan McKay,"Mac Jolly, 
Mason McKay, 
Mykie Valenzuela, 
Dylan McKay"
tt1690969,Honorable Retribution,2010,60 min,"Action, Drama",8.5,"Johnny Lespin is a man on the verge of changing his profession to take on a more practical way of life. He is the voice and muscle for Don Ferero, the head of an underground crime syndicate...                See full summary »",E. Jesus Nieves,"Frank Amoruso, 
Ruthie Christianson, 
Marc I. Daniels, 
Gizzie"
tt16123128,Tathastu,2018,,Action,8.5,Add a Plot,Shabir Shrestha,"Rekha Thapa, 
Subash Thapa"
tt0262539,Katakatala Rudraiah,1978,,"Action, Drama",8.5,Add a Plot,Dasari Narayana Rao,"Krishnamraju, 
Jayasudha, 
Kaikala Satyanarayana, 
Raogopalrao"
tt15245190,The Prequel of Gold Convoyers: Super national Treasure,2020,,Action,8.5,Add a Plot,Liu Zifu,"Nicky Wu, 
Xu Xi Yan"
tt0462249,Dead in Texas,2005,80 min,"Action, Comedy, Thriller",8.5,"The film follows the lives of two bank robbing brothers who's car breaks down in the middle of the desert, they eventually come to a small town called HELLUGO. As they continuously fail ...                See full summary »",Michael Anton,"Sean Sweeney, 
Will Stanfill, 
Justin Matthews, 
Larry Randolph"
tt4154796,Avengers: Endgame,2019,181 min,"Action, Adventure, Drama",8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth"
tt0082971,Raiders of the Lost Ark,1981,115 min,"Action, Adventure",8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",Steven Spielberg,"Harrison Ford, 
Karen Allen, 
Paul Freeman, 
John Rhys-Davies"
tt0364569,Oldboy,2003,120 min,"Action, Drama, Mystery",8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-wook,"Choi Min-sik, 
Yoo Ji-tae, 
Kang Hye-jeong, 
Kim Byeong-Ok"
tt4154756,Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi",8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans"
tt1345836,The Dark Knight Rises,2012,164 min,"Action, Drama",8.4,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",Christopher Nolan,"Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman"
tt4633694,Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure",8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman","Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali"
tt0090605,Aliens,1986,137 min,"Action, Adventure, Sci-Fi",8.4,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",James Cameron,"Sigourney Weaver, 
Michael Biehn, 
Carrie Henn, 
Paul Reiser"
tt0119698,Princess Mononoke,1997,134 min,"Animation, Action, Adventure",8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,"Yôji Matsuda, 
Yuriko Ishida, 
Yûko Tanaka, 
Billy Crudup"
tt10295212,Shershaah,2021,135 min,"Action, Biography, Drama",8.4,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",Vishnuvardhan,"Sidharth Malhotra, 
Kiara Advani, 
Shiv Panditt, 
Pranay Pachauri"
tt0400234,Black Friday,2004,143 min,"Action, Crime, Drama",8.4,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",Anurag Kashyap,"Kay Kay Menon, 
Pawan Malhotra, 
Aditya Srivastav, 
Dibyendu Bhattacharya"
tt9477520,Asuran,2019,141 min,"Action, Drama",8.4,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",Vetrimaaran,"Dhanush, 
Manju Warrier, 
Prakash Raj, 
Pasupathy"
tt5959980,Vada Chennai,2018,164 min,"Action, Crime, Drama",8.4,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.,Vetrimaaran,"Dhanush, 
Ameer Sultan, 
Radha Ravi, 
Daniel Balaji"
