movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt1251027,Wilde Clique,1983,87 min,Adventure,8.9,Add a Plot,"Hannelore Conradsen, 
Dieter Köster","Annette Berndt, 
Marnie Held, 
Dorothea Moritz, 
Martin Kukula"
tt4508018,Os Perfeitos,2014,,Adventure,8.9,"Gustavo is captured by DIVISION, a department of the government who pursuits teens with special abilities. Follow his escape.",Renato Arroyo,"Joana Albuquerque, 
Susana Albuquerque, 
Jaime Alves, 
Carolina Banza"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean"
tt1375666,Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe"
tt0167261,The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom"
tt0060196,"The Good, the Bad and the Ugly",1966,178 min,"Adventure, Western",8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"Clint Eastwood, 
Eli Wallach, 
Lee Van Cleef, 
Aldo Giuffrè"
tt0076276,Who's Singin' Over There?,1980,86 min,"Adventure, Comedy, Drama",8.8,"It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever.",Slobodan Sijan,"Pavle Vuisic, 
Dragan Nikolic, 
Danilo 'Bata' Stojkovic, 
Aleksandar Bercek"
tt13871422,Enter the Drag Dragon,2023,99 min,"Action, Adventure, Comedy",8.8,"Crunch is a part-time amateur detective / full-time Drag Queen. Crunch finds himself over his head dealing with corrupt cops, gangsters, zombies, androids, mummies and ghosts. Don't miss this first ever Drag-Fu Odyssey.",Lee Demarbre,"Jade London, 
Samnang Tep, 
Beatrice Beres, 
Dave Bignell"
tt0252490,The Chaos Class Is Waking Up,1977,94 min,"Adventure, Comedy",8.8,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,Ertem Egilmez,"Kemal Sunal, 
Münir Özkul, 
Halit Akçatepe, 
Adile Nasit"
tt8244674,From the End Into the Beginning,2016,,"Adventure, Drama, Romance",8.8,"Inspired by true events, a young married couple, Christopher and Paige, go on a romantic weekend getaway. The lovers reminisce about their triumphs and tragedies, reliving the 27 years of ...                See full summary »",Paige Suzanne,"Christopher Bela, 
Ara Germaine, 
Brian Gibson, 
Keegan Moyer"
tt4650752,Message in a Bottle,2017,,Adventure,8.8,A trio of young teens' lives are changed forever when they go on a journey to rescue a kid sending eerie notes down stream in bottles. Johnny Tatro (Matthew Owen Kozak) is a passionate ...                See full summary »,Rhonda Parker,"Jack Champion, 
Tyler Aser, 
Linda Mesi, 
Colton Clause"
tt0795362,Cowboy Smoke,2008,,"Action, Adventure, Crime",8.8,Joe's a suburban convenience store clerk with big dreams of becoming a cowboy so he packs his boots and relocates to South Texas to learn from the real deal. His idea of the mythic cowboy is quickly shattered however when he finds himself holed up in a town that survives on a human smuggling trade.,Will James Moore,"Mike Lutz, 
Chad Mathews, 
Matthew T. Johnston, 
Estella Perez"
tt16728922,The Fountain of Youth,2021,79 min,Adventure,8.8,"A history teacher adventures across Florida to discover eternal waters and save his mother from a terminal disease, all while dodging a competitor: a washed-up celebrity survivalist.","Austin Parenti, 
Ryan Cavanagh","Stephen Hedger, 
Kyle Manning, 
Sarah Rayburn, 
Antonio Zarro"
tt4461060,One Penny,2017,90 min,"Adventure, Drama",8.8,"A young boy - tragically abandoned - gets taken in and raised by a homeless man known as ""Professor."" Dylan, now a street-smart maverick yearns for a better future, but a dark secret could shatter his world forever.",Michael DeVita,"Harrison Samuels, 
Carson Grant, 
Ben Rezendes, 
Will Roland"
tt0386703,The Mischievous Boy,1978,95 min,"Adventure, Comedy, Drama",8.8,The film based on the story of the same name by Uzbek poet and writer Gafur Gulom about the adventures of an irrepressible young boy who encounters various people and life situations during his journey.,Damir Salimov,"Abduraim Abdurvakhabov, 
Saidkaryn Saidarypov, 
Khamza Umarov, 
Vakhid Kadyrov"
tt2040526,Tangled Up in Blue,2011,97 min,"Adventure, Comedy, Drama",8.8,"The misadventures of four childhood friends living in the middle of nowhere, USA. All of them in their post high school phase must now decide what's next. A broken window, an affair and a ...                See full summary »",Sampson B. Vega,"Alex Aschinger, 
Nathan Blaiwes, 
Natascha Borg, 
Frankie Cullen"
tt16901072,Bhala Chora Bhala,2022,88 min,"Adventure, Drama, Thriller",8.8,Raj and his friends who get entangled in a mess involving criminal activities. How Raj and his friends manage to get away from the mess that they have created?,A. Pradeep,"Khayyum Ali, 
Venkatesh Marturu, 
Ram Jagan, 
Chintu"
