movie_id,movie_name,year,runtime,genre,rating,description,director
tt4076950,Eve's Demons,2015,,"Horror, Thriller",8.8,Something strange is going on in the suburbs of Lattermill. Is Eve McCallister being stalked by a loner called Charlie Rosewood or is there a more reasonable explanation? Who's living in ...                See full summary »,Paul Trigwell
tt1671536,666: The Beginning of the End,2009,98 min,Horror,8.8,"Father Michele Stivoli, an Italian catholic priest on a journey of confusion, pain and terror which leads him on a collision course with the Antichrist himself.",Alexa Makky
tt4992238,Innocent Prayer,2016,83 min,"Crime, Drama, Horror",8.8,A little girl who is tortured by her parents follow the footstep of a serilal killer to run away from her reality.,Tôru Kamei
tt2673726,An Inappropriate Affect,2015,84 min,"Comedy, Horror, Mystery",8.8,"The new patient at Elm County Hospital is something of a celebrity. He wants out, but his mental health, or lack thereof - is an investment.",Russ Martin
tt2991474,The Vampire,2013,95 min,"Drama, Horror",8.8,"A local news journalist named Zelene begins investigating a bizarre case of animal cruelty, and in turn uncovers something not quite human.",Geoffrey Orlowski
tt15249650,Gravedigger Dave's Anthology Festival,2021,,Horror,8.8,Join Gravedigger Dave for 90 minutes of the best spooky short films from around the world.,"Corie Anderson, 
Lindsei Barros, 
Christopher Desiderio, 
David Dincer, 
Wei Geng, 
Keith Tyler Hopkins, 
Kamilla Norussova, 
Ilya Polyakov, 
Franz Ufer, 
Jason Wright"
tt2357319,Shade and Shadow,2004,118 min,"Comedy, Horror, Mystery",8.8,"A young widower attended by a masked servant and his retired movie star mother are holed up in their abandoned childhood home- joined for the holidays by an ex-girlfriend, her violently ...                See full summary »",Gadam
tt5967812,Do Not Disturb the Dead,2016,71 min,Horror,8.8,Two inner city youth come up with a apocalyptic plan to take over the world. Making their main priority to live to see tomorrow.,"Carl Jackson, 
Carl Jackson"
tt0788206,Satur,1951,,"Fantasy, Horror",8.8,"Cristina, a pretty young neighborhood girl, is pursued by the mysterious Satur, a wealthy but mysterious young man. Cristina, however, is engaged to Sendong, a young farmer. When Cristina's...                See full summary »",Lamberto V. Avellana
tt5824950,Alive at Night,2017,45 min,Horror,8.8,Story of a creepy doll who wakes up every night to life and starts killing everyone one by one.,"Julie Bowden, 
Ann Decesare, 
Brian D. Husby, 
Jeffrey Lutz"
tt1207918,At lumaganap ang lagim,1975,,Horror,8.8,Add a Plot,Armando A. Herrera
